,manage_no,approval_date,business_state,detailed_state,phone_no,store_size,postal_code,address,road_address,road_addr_postal_code,name,updated_date,renewed_date,type,coords_X,coords_Y,longitude,latitude
0,3200000-102-2014-00001,2014-01-17,영업/정상,영업,,46.31,151-930,서울특별시 관악구 신림동 1639-23,"서울특별시 관악구 남부순환로 1596, 나동 지하1층 (신림동)",8776,오예스노래빠,2023-03-10 11:00:21,2022-12-02 23:02:00.0,룸살롱,126.92801653285407,37.483795051297626,126.92801653285407,37.483795051297626
1,3200000-102-2000-10195,2000-03-17,영업/정상,영업,02 5254196,96.25,151-800,서울특별시 관악구 남현동 1061-22,서울특별시 관악구 과천대로 945 (남현동),8807,수,2023-03-14 17:29:22,2022-12-02 23:06:00.0,룸살롱,126.98139498960148,37.4749845680884,126.98139498960148,37.4749845680884
2,3200000-102-2007-00004,2007-09-28,영업/정상,영업,02  882 0778,82.52,151-848,서울특별시 관악구 봉천동 857-5 외 1필지 지하1층,"서울특별시 관악구 관악로 174 (봉천동,외 1필지 지하1층)",8788,텔미노래바,2023-03-02 17:08:28,2022-12-03 00:04:00.0,비어(바)살롱,126.95292960190493,37.48064238134562,126.95292960190493,37.48064238134562
3,3200000-102-2017-00001,2017-01-09,영업/정상,영업,,62.87,151-892,서울특별시 관악구 신림동 1432-76,"서울특별시 관악구 신림로 351, 지하1층 (신림동)",8760,사탕노래빠,2023-02-15 15:22:54,2022-12-01 23:07:00.0,룸살롱,126.92923082895676,37.48564743424582,126.92923082895676,37.48564743424582
4,3200000-102-2019-00005,20190910,영업/정상,영업,,68.57,151930,서울특별시 관악구 신림동 1640-30,"서울특별시 관악구 남부순환로176길 11, 지하1층 (신림동)",8776,여우노래빠,2022-11-17 10:08:40,2021-10-31 23:09:00.0,룸살롱,126.92856663941018,37.48345423580051,126.92856663941018,37.48345423580051
5,3200000-102-2002-00002,20020307,영업/정상,영업,,70.02,151890,서울특별시 관악구 신림동 1423-28,"서울특별시 관악구 봉천로12길 69, 지하1층 (신림동)",8754,루비,2022-10-20 10:41:23,2021-10-30 22:02:00.0,룸살롱,126.93032472478684,37.48573026177687,126.93032472478684,37.48573026177687
6,3200000-102-2000-10140,20000221,영업/정상,영업,02 8594657,152.60,151875,서울특별시 관악구 신림동 527-11,서울특별시 관악구 난곡로66길 14 (신림동),8761,자이노래빠,2022-04-14 13:44:12,2021-12-03 23:06:00.0,룸살롱,126.9152218638729,37.48251526802364,126.9152218638729,37.48251526802364
7,3200000-102-2023-00001,2023-02-03,영업/정상,영업,,95.21,151-834,서울특별시 관악구 봉천동 851-30,"서울특별시 관악구 관악로 192, 지층 (봉천동)",8737,청개구리,2023-02-02 13:34:33,2022-12-02 00:04:00.0,노래클럽,126.95363548774756,37.4821867536835,126.95363548774756,37.4821867536835
8,3200000-102-2000-10900,2000-07-13,영업/정상,영업,02 8679818,94.14,151-903,서울특별시 관악구 신림동 1655-9,"서울특별시 관악구 시흥대로 566, 지하1층 (신림동)",8769,B투B룸비지니스,2023-02-06 10:41:42,2022-12-02 00:08:00.0,룸살롱,126.90251154814354,37.48313085352787,126.90251154814354,37.48313085352787
9,3200000-102-2012-00004,20120601,영업/정상,영업,02 882 8590,272.00,151930,서울특별시 관악구 신림동 1640-2,서울특별시 관악구 남부순환로 1600 (신림동),8776,논다노래타운 신림점,2022-11-24 16:59:01,2021-10-31 22:06:00.0,간이주점,126.92850150524605,37.48376689376671,126.92850150524605,37.48376689376671
10,3200000-102-2022-00001,20220203,영업/정상,영업,,50.65,151930,서울특별시 관악구 신림동 1639-1 신림빌딩,"서울특별시 관악구 남부순환로 1588, 신림빌딩 3층 (신림동)",8776,망고노래빠,2022-04-19 13:31:47,2021-12-03 22:01:00.0,노래클럽,193480.726441546,442387.810878579,126.92707938812124,37.48365987683693
11,3200000-102-2000-07734,20001011,영업/정상,영업,02 8562262,95.34,151875,서울특별시 관악구 신림동 529-7,서울특별시 관악구 난곡로66길 7 (신림동),8761,W 노래빠,2022-06-15 10:08:52,2021-12-05 23:07:00.0,스텐드바,192393.663310822,442281.964358668,126.91478972409712,37.482697817135886
12,3200000-102-2022-00002,20220414,영업/정상,영업,,95.48,151892,서울특별시 관악구 신림동 1431-18,"서울특별시 관악구 신림동1길 25-6, 지하1층 (신림동)",8760,시크릿,2022-12-07 13:05:25,2021-11-02 00:09:00.0,룸살롱,193636.167519073,442688.22950769,126.92883424494973,37.48636774407898
13,3200000-102-2022-00003,20220621,영업/정상,영업,,66.02,151930,서울특별시 관악구 신림동 1640-29 제일빌딩,"서울특별시 관악구 남부순환로176길 9, 제일빌딩 2층 (신림동)",8776,아쿠아,2022-06-21 17:09:01,2021-12-05 22:03:00.0,룸살롱,193611.440762797,442378.040095469,126.9285573819392,37.48357276382314
14,3200000-102-2022-00004,20220621,영업/정상,영업,,65.28,151930,서울특별시 관악구 신림동 1640-29 제일빌딩,"서울특별시 관악구 남부순환로176길 9, 제일빌딩 2층 (신림동)",8776,깐부,2022-06-21 17:23:21,2021-12-05 22:03:00.0,룸살롱,193611.440762797,442378.040095469,126.9285573819392,37.48357276382314
15,3200000-102-2011-00005,20110818,영업/정상,영업,,58.98,151930,서울특별시 관악구 신림동 1639-19 지하1층,"서울특별시 관악구 남부순환로 1594-1, 지하1층 (신림동)",8776,플랙스(FLEX),2022-04-14 15:19:20,2021-12-03 23:06:00.0,룸살롱,193549.635165812,442401.403628917,126.92785837739416,37.483782835852274
16,3200000-102-2010-00007,20101008,영업/정상,영업,02  877 9705,58.06,151890,서울특별시 관악구 신림동 1424-11 3층,"서울특별시 관악구 신림로 356 (신림동,3층)",8754,세븐노래,2022-06-28 11:27:10,2021-12-05 21:00:00.0,룸살롱,193715.720946633,442661.600592493,126.92973396974836,37.48612836737644
17,3200000-102-2008-00008,20080612,영업/정상,영업,,80.86,151892,서울특별시 관악구 신림동 1432-73 지상4층,"서울특별시 관악구 신림로 353 (신림동,지상4층)",8760,딱따구리,2022-12-01 10:00:12,2021-11-02 00:03:00.0,룸살롱,193667.814824278,442621.679865443,126.92919265291452,37.48576835119263
18,3200000-102-2006-00004,20060830,영업/정상,영업,,271.46,151890,서울특별시 관악구 신림동 1422-17,서울특별시 관악구 남부순환로 1627 (신림동),8754,초콜렛바,2022-08-29 17:13:21,2021-12-07 21:01:00.0,스텐드바,193859.537537582,442511.026089094,126.93136133957802,37.48477266718475
19,3200000-102-2022-00005,20221202,영업/정상,영업,,93.82,151892,서울특별시 관악구 신림동 1431-2,"서울특별시 관악구 신림로 371, 지하1층 (신림동)",8760,상한가 노래빠,2022-12-02 15:55:57,2021-11-02 00:04:00.0,룸살롱,193615.55258116,442794.004950574,126.9286002296088,37.48732063735997
20,3200000-102-2000-10502,20000901,영업/정상,영업,02 8753379,86.54,151890,서울특별시 관악구 신림동 1423-19,서울특별시 관악구 봉천로12길 63 (신림동),8754,로얄,2022-04-14 16:33:58,2021-12-03 23:06:00.0,룸살롱,193768.214700377,442644.882774357,126.93032764752436,37.48597809888102
21,3200000-102-2001-11096,20010726,영업/정상,영업,02 8623310,95.69,151903,서울특별시 관악구 신림동 1655-23,"서울특별시 관악구 시흥대로 552-1, 지하1층 (신림동)",8768,New레이스노래바,2022-08-18 14:31:20,2021-12-07 22:00:00.0,룸살롱,191217.026445816,442233.874417452,126.9014869546222,37.48225401340006
