district,info,latitude,longitude,count,update_date,update_year,update_month,lamp_addr,depth1,depth2,main_addr_no,sub_addr_no,latitude,longitude,address
관악구,A2021 1-1RZ 신림6배수지공원#01(삼성동 336-8),37.4682,126.9265,1,1,2022.0,12.0,,서울,관악구,336,8,,,서울 관악구 신림동 336-8
관악구,A2022 1-1RZ 신림6배수지공원#02(삼성동 336-8),37.4683,126.9259,1,1,2022.0,12.0,,서울,관악구,336,8,,,서울 관악구 신림동 336-8
관악구,A2024 1-1RZ 배수지공원(삼성동 1713-6),37.4633,126.9272,1,1,2022.0,12.0,,서울,관악구,1713,6,,,서울 관악구 신림동 1713-6
관악구,A2019 1-1RZ 선우공원#01(미성동 산 117-3),37.4688,126.913,1,1,2022.0,12.0,,서울,관악구,737,1,,,서울 관악구 신림동 737-1
관악구,DC071 3-4S 청림동 4-20,37.4905,126.9592,1,1,2022.0,12.0,,서울,관악구,4,20,,,서울 관악구 봉천동 4-20
관악구,A2025 1-1RZ 상도근린공원#01(보라매동 산104-9),37.4889,126.9381,1,1,2022.0,12.0,,서울,관악구,104,9,,,서울 관악구 봉천동 산 104-9
관악구,A2026 1-1RZ 상도근린공원#02(보라매동 산104-9),37.4894,126.938,1,1,2022.0,12.0,,서울,관악구,647,53,,,서울 관악구 봉천동 647-53
관악구,A2027 1-1RZ 상도근린공원#03(보라매동 산104-9),37.4893,126.9383,1,1,2022.0,12.0,,서울,관악구,104,9,,,서울 관악구 봉천동 산 104-9
관악구,A2023 1-1RZ 봉천11배수지공원(인헌동 산3-8),37.4691,126.97,1,1,2022.0,12.0,,서울,관악구,3,8,,,서울 관악구 봉천동 산 3-8
관악구,A2028 1-1R 중앙공원#01(중앙동 890-1),37.4844,126.9485,1,1,2022.0,12.0,,서울,관악구,890,1,,,서울 관악구 봉천동 890-1
관악구,A2029 1-1R 중앙공원#02(중앙동 890-1),37.4843,126.9482,1,1,2022.0,12.0,,서울,관악구,890,1,,,서울 관악구 봉천동 890-1
관악구,A2030 1-1S 관악산공원 주차장1,37.4683,126.9456,1,1,2022.0,12.0,,서울,관악구,210,,,,서울 관악구 신림동 210
관악구,A2032 1-1RZ 관악산공원 피크닉숲,37.4618,126.9482,1,1,2022.0,12.0,,서울,관악구,205,1,,,서울 관악구 신림동 205-1
관악구,A2033 1-1RZ 관악산공원 야외식물원,37.4609,126.9482,1,1,2022.0,12.0,,서울,관악구,205,1,,,서울 관악구 신림동 205-1
관악구,A2034 1-2RZ 관악산공원 제1야영장,37.458,126.9464,1,1,2022.0,12.0,,서울,관악구,50,17,,,서울 관악구 신림동 산 50-17
관악구,"A2036 1-1RZ 장군봉근린공원1(메인,청룡동 산151-139)",37.4797,126.9372,1,1,2022.0,12.0,,서울,관악구,151,138,,,서울 관악구 봉천동 산 151-138
관악구,A2034 2-2SZ 관악산공원 제1야영장,37.4574,126.9463,1,1,2022.0,12.0,,서울,관악구,50,18,,,서울 관악구 신림동 산 50-18
관악구,A2035 1-1RZ 관악산공원 제2야영장,37.4556,126.9454,1,1,2022.0,12.0,,서울,관악구,50,20,,,서울 관악구 신림동 산 50-20
관악구,"A2037 1-1RZ 장군봉근린공원2(서브,청룡동 산151-139)",37.4798,126.9364,1,1,2022.0,12.0,,서울,관악구,164,6,,,서울 관악구 신림동 산 164-6
관악구,"A2038 1-1RZ 장군봉근린공원3(서브,청룡동 산151-139)",37.4805,126.9369,1,1,2022.0,12.0,,서울,관악구,151,139,,,서울 관악구 봉천동 산 151-139
관악구,A2039 1-1RZ 양산어린이공원(삼성동 395-35),37.4737,126.9327,1,1,2022.0,12.0,,서울,관악구,395,71,,,서울 관악구 신림동 395-71
관악구,A2040 1-1R 군아파트어린이공원(남현동 602-282),37.4718,126.9791,1,1,2022.0,12.0,,서울,관악구,602,143,,,서울 관악구 남현동 602-143
관악구,A2041 1-1RZ 한뼘동래공원(은천동 900-65),37.4847,126.9449,1,1,2022.0,12.0,,서울,관악구,900,54,,,서울 관악구 봉천동 900-54
관악구,A3001 1-1RZ 남강창의어린이공원(난곡동 1678-9),37.4734,126.924,1,1,2022.0,12.0,,서울,관악구,1678,12,,,서울 관악구 신림동 1678-12
관악구,A2042 1-1RZ 상도근린공원(보라매동 산133-10),37.4927,126.9351,1,1,2022.0,12.0,,서울,관악구,133,10,,,서울 관악구 봉천동 산 133-10
관악구,A3002 1-1RZ 일삼별공원 농구코트(난곡동 산 90-3),37.4667,126.9237,1,1,2022.0,12.0,,서울,관악구,90,3,,,서울 관악구 신림동 산 90-3
