"점포명",시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,여성안심지킴이집전화번호,관할경찰서명,지정연도,운영여부,데이터기준일자
CU 관악낙성점,서울특별시,관악구,11620,서울특별시 관악구 솔밭로 5,,37.478149,126.962553,02-889-1069,관악경찰서,,Y,2022-09-28
CU 관악리베로점,서울특별시,관악구,11620,서울특별시 관악구 신림동길 38,,37.486889,126.924469,02-882-9718,관악경찰서,,Y,2022-09-28
CU 관악미림점,서울특별시,관악구,11620,서울특별시 관악구 호암로20길 1,,37.467752,126.932153,02-883-1032,관악경찰서,,Y,2022-09-28
CU 관악샛별점,서울특별시,관악구,11620,서울특별시 관악구 조원로 87,,37.484602,126.911933,02-830-6288,관악경찰서,,Y,2022-09-28
CU 관악에스식스점,서울특별시,관악구,11620,서울특별시 관악구 양지5길 2,,37.471558,126.931281,,관악경찰서,,Y,2022-09-28
CU 관악진우점,서울특별시,관악구,11620,서울특별시 관악구 남부순환로 1536,,37.482738,126.921302,02-865-5258,관악경찰서,,Y,2022-09-28
CU 낙성대역점,서울특별시,관악구,11620,서울특별시 관악구 봉천로 604-1,,37.475826,126.964203,02-877-7084,관악경찰서,,Y,2022-09-28
CU 관악트윈스점,서울특별시,관악구,11620,서울특별시 관악구 양녕로6길 78,,37.48350324,126.9507167,02-883-1789,관악경찰서,2020,Y,2022-09-28
CU 관악첼시점,서울특별시,관악구,11620,서울특별시 관악구 당곡6나길 33,,37.49258736,126.9315232,0507-1312-5806,관악경찰서,2020,Y,2022-09-28
CU 관악서림점,서울특별시,관악구,11620,서울특별시 관악구 서림3길 32,,37.4728148,126.940045,02-871-5121,관악경찰서,2020,Y,2022-09-28
CU 관악보라매점,서울특별시,관악구,11620,서울특별시 관악구 봉천로 307,,37.48670728,126.9350031,02-875-0949,관악경찰서,2021,Y,2022-09-28
CU 관악서원점,서울특별시,관악구,11620,서울특별시 관악구 신림로 274,,37.4792582,126.9318104,02-884-4363,관악경찰서,2021,Y,2022-09-28
CU 서울대서연점,서울특별시,관악구,11620,서울특별시 관악구 관악로 132,,37.477014,126.9527058,02-883-6003,관악경찰서,2021,Y,2022-09-28
CU 관악동원점,서울특별시,관악구,11620,서울특별시 관악구 호암로26가길 43,,37.4688618,126.9333038,02-882-2188,관악경찰서,2021,Y,2022-09-28
CU 신림테라스점,서울특별시,관악구,11620,서울특별시 관악구 호암로26길 47,,37.4704461,126.9362215,070-8866-7700,관악경찰서,2021,Y,2022-09-28
GS25 관악봉천,서울특별시,관악구,11620,서울특별시 관악구 관악로17길 25,,37.480659,126.950249,02-873-9368,관악경찰서,,Y,2022-09-28
GS25 관악세봉,서울특별시,관악구,11620,서울특별시 관악구 관악로5길 84,,37.47659256,126.9517368,02-875-7013,관악경찰서,,Y,2022-09-28
GS25 관악원앙,서울특별시,관악구,11620,서울특별시 관악구 남부순환로 218길 46,,37.479344,126.950035,02-882-4442,관악경찰서,,Y,2022-09-28
GS25 관악푸르지오,서울특별시,관악구,11620,서울특별시 관악구 관악로30길 17,,37.486515,126.959006,02-882-0008,관악경찰서,,Y,2022-09-28
GS25 관악한일,서울특별시,관악구,11620,서울특별시 관악구 승방2길 2,,37.473924,126.981326,02-581-7071,관악경찰서,,Y,2022-09-28
GS25 남현번영,서울특별시,관악구,11620,서울특별시 관악구 승방4길 27,,37.474837,126.980428,02-445-5896,관악경찰서,,Y,2022-09-28
GS25 봉천동부,서울특별시,관악구,11620,서울특별시 관악구 은천로 143,,37.486632,126.951267,02-877-5549,관악경찰서,,Y,2022-09-28
GS25 봉천동신,서울특별시,관악구,11620,서울특별시 관악구 봉천로21나길 35 1층,,37.488835,126.936175,02-875-0329,관악경찰서,,Y,2022-09-28
GS25 봉천번영,서울특별시,관악구,11620,서울특별시 관악구 관악로14가길 45,,37.476408,126.955539,02-883-2009,관악경찰서,,Y,2022-09-28
GS25 뉴신림로데오,서울특별시,관악구,11620,서울특별시 관악구 봉천로6길 30,,37.488305,126.925487,1644-5425,관악경찰서,,Y,2022-09-28
GS25 신림성화,서울특별시,관악구,11620,서울특별시 관악구 남부순환로 1578,,37.483512,126.925917,02-867-6865,관악경찰서,,Y,2022-09-28
GS25 신림왕성,서울특별시,관악구,11620,서울특별시 관악구 신림로 304,,37.481324,126.930214,02-888-8038,관악경찰서,,Y,2022-09-28
GS25 인헌마루,서울특별시,관악구,11620,서울특별시 관악구 인헌길 141,,37.46956027,126.9686101,02-882-6730,관악경찰서,,Y,2022-09-28
GS25 관악봉림점,서울특별시,관악구,11620,서울특별시 관악구 장군봉7길 2,,37.48058116,126.9394385,02-877-4011,관악경찰서,2020,Y,2022-09-28
GS25 중앙한가온점,서울특별시,관악구,11620,서울특별시 관악구 중앙길 78,,37.48542385,126.9507577,02-883-1250,관악경찰서,2020,Y,2022-09-28
GS25 신림법원단지,서울특별시,관악구,11620,서울특별시 관악구 법원단지길 48,,37.4741374,126.9201499,02-866-2232,관악경찰서,2020,Y,2022-09-28
GS25 신림복은점,서울특별시,관악구,11620,서울특별시 관악구 복은길 60,,37.47452391,126.9391772,02-882-2494,관악경찰서,2020,Y,2022-09-28
GS25 관악승리점,서울특별시,관악구,11620,서울특별시 관악구 봉천로 281,,37.48772707,126.9324762,1644-5425,관악경찰서,2021,Y,2022-09-28
GS25 서울대역점,서울특별시,관악구,11620,서울특별시 관악구 관악로144,,37.4779373944,126.9526013460,02-875-2525,관악경찰서,2022,Y,2022-09-28
GS25 관악대성점,서울특별시,관악구,11620,서울특별시 관악구 관악로12길 17,,37.4781789935,126.9533774409,02-873-1478,관악경찰서,2022,Y,2022-09-28
GS25 신림두림점,서울특별시,관악구,11620,서울특별시 관악구 남부순환로 1648,,37.48451119,126.9339206,02-871-1278,관악경찰서,2021,Y,2022-09-28
"세븐일레븐 봉천남부점",서울특별시,관악구,11620,서울특별시 관악구 남부순환로 1716,,37.48253974,126.940601,1577-9621,관악경찰서,,Y,2022-09-28
"미니스톱 신림본점",서울특별시,관악구,11620,서울특별시 관악구 신림로 270,,37.478956,126.932154,1577-9621,관악경찰서,,Y,2022-09-28
"미니스톱 관악정옥점",서울특별시,관악구,11620,서울특별시 관악구 관악로 15길 39,,37.480318,126.950172,1577-9621,관악경찰서,,Y,2022-09-28
"미니스톱 신림양지점",서울특별시,관악구,11620,서울특별시 관악구 신림로68길 10,,37.486431,126.929904,1577-9621,관악경찰서,,Y,2022-09-28
"세븐일레븐 관악구청점",서울특별시,관악구,11620,서울특별시 관악구 관악로 154,,37.478917,126.952643,,관악경찰서,,Y,2022-09-28
"세븐일레븐 봉천1호점",서울특별시,관악구,11620,서울특별시 관악구 남부순환로 1766,,37.481701,126.946115,02-877-0450,관악경찰서,,Y,2022-09-28
"세븐일레븐 봉천해주점",서울특별시,관악구,11620,서울특별시 관악구 봉천로 466,,37.482009,126.951638,02-877-7873,관악경찰서,,Y,2022-09-28
"세븐일레븐 서울대서진점",서울특별시,관악구,11620,서울특별시 관악구 관악로17길 3,,37.480606,126.951509,,관악경찰서,,Y,2022-09-28
"세븐일레븐 신림대학스타점",서울특별시,관악구,11620,서울특별시 관악구 호암로24길 6,,37.469901,126.933532,02-878-0845,관악경찰서,,Y,2022-09-28
"세븐일레븐 신사시장점",서울특별시,관악구,11620,서울특별시 관악구 남부순환로 153길 35,,37.484021,126.916309,02-830-6586,관악경찰서,,Y,2022-09-28
"세븐일레븐 신림문화점",서울특별시,관악구,11620,서울특별시 관악구 신림동길 15,,37.487117,126.927033,02-871-3320,관악경찰서,,Y,2022-09-28
"세븐일레븐 관악신원점",서울특별시,관악구,11620,서울특별시 관악구 남부순환로168가길 47,,37.4805687,126.9269013,02-863-9587,관악경찰서,2020,Y,2022-09-28
"세븐일레븐 관악미림점",서울특별시,관악구,11620,서울특별시 관악구 호암로20길 67,,37.4670462,126.935734,02-871-1379,관악경찰서,2020,Y,2022-09-28
"세븐일레븐 서울대입구역점",서울특별시,관악구,11620,서울특별시 관악구 남부순환로 1820,,37.480961,126.9520838,02-6276-8777,관악경찰서,2021,Y,2022-09-28
"씨스페이스 구로공단점",서울특별시,관악구,11620,서울특별시 관악구 조원로 6,,37.483406,126.902725,0507-1325-4280,관악경찰서,,Y,2022-09-28
